code,reg_number
10574,51721/1
11135,9723/1
10570,51921/1
10571,52121/1
10572,52021/1
10573,51821/1
10575,52221/1
11136,8323/1
11137,8523/1
11138,8623/1
11139,8423/1
10614,63721/1
10615,63521/1
10616,63621/1
11140,9323/1
11141,9123/1
11142,9223/1
9526,31316/1
4290,208377/97
10304,10120/1
10611,64021/1
11143,9623/1
7212,168141/10
9378,93016/1
7211,168142/10
1337,974078/02
1338,974079/02
10612,64121/1
11144,9523/1
10613,63921/1
11145,9423/1
10566,52321/1
10567,52421/1
10568,52521/1
10569,52621/1
11146,8723/1
11147,8823/1
11148,8923/1
11149,9023/1
8733,66316/1
10544,70720/1
10548,167320/1
9325,42316/1
10698,77116/1
10699,77216/1
10966,91022/1
10993,6421/1
11432,113920/1
11691,152623/1
11001,93321/1
10796,52919/1
11325,147822/1
11326,147922/1
9059,43217/1
9058,43417/1
9362,128817/1
11187,71121/1
5143,23624/06
10970,102221/1
10971,102121/1
11508,53923/1
8141,31215/1
11867,77024/1
9768,98218/1
11819,78424/1
11499,4723/1
8593,1416/1
5900,218156/09
8202,42115/1
5901,218157/09
5902,218158/09
2481,78773
2224,38681/96
5781,219553/09
4405,78770/98
8870,52515/1
9595,61618/1
1340,973726/02
5959,23608/06
9705,179817/1
2023,26460
8497,144814/1
6060,24959/07
6481,168202/10
6480,168203/10
7244,96648/12
11585,106523/1
7970,119414/1
10707,92920/1
4468,24279
9602,107818/1
9590,93318/1
10163,79719/1
3740,78846/98
3434,78844/98
3436,78845/98
3371,78843/98
1341,208895/03
1709,973937/02
4861,26/95
11025,43121/1
2097,H0744/92
7809,81614/1
6549,167734/10
7641,186523/13
7640,186522/13
7642,186524/13
7639,186521/13
10364,94920/1
10363,94820/1
10892,77021/1
10887,76921/1
10891,97321/1
9523,48818/1
7562,167742/11
6986,97366/12
7509,186613/13
11702,65022/1
5182,24888/07
7445,219222/09
9347,416/1
9348,316/1
9346,216/1
5897,218674/10
6930,96704/12
5489,219721/09
7282,219456/09
9833,193718/1
7864,96553/12
11890,72221/1
482,27943/95
571,974097/02
11171,134121/1
8551,26816/1
1351,973999/02
1350,973998/02
3487,148247/03
3489,148245/03
10396,197819/1
8794,110115/1
5783,218737/10
9772,160618/1
9790,160718/1
9791,193318/1
9792,177618/1
9793,177718/1
4304,11283
4314,20919
11061,52422/1
9459,178617/1
6691,97043/12
10014,67419/1
3358,195035/04
5327,221412/08
8306,185804/13
11203,103122/1
9915,159015/1
10914,153620/1
2107,208370/02
4572,22575
11083,72822/1
11084,72622/1
11085,72722/1
6484,218789/09
6886,219452/09
10681,16621/1
10494,189919/1
10495,190019/1
7987,120214/1
7877,166948/11
11089,115722/1
11091,115522/1
11090,115622/1
8411,166818/11
8707,127715/1
10527,21920/1
2755,974104/01
5205,24332/06
11985,112823/1
8286,55315/1
10775,108621/1
11692,129323/1
8890,70215/1
9830,61819/1
10774,4922/1
11473,91122/1
4098,24140/06
11730,85723/1
11580,119320/1
11094,98622/1
11095,98522/1
4332,148305/03
4239,195348/04
10377,138419/1
10410,138519/1
10146,22720/1
10697,73321/1
10251,81320/1
10442,79720/1
10443,79820/1
10444,79920/1
4725,27567/94
5175,24510/07
10328,138619/1
6088,219521/09
6089,219522/09
10879,28022/1
10880,27922/1
10881,27822/1
10882,27722/1
9985,20319/1
6706,219295/09
6707,219296/09
6708,219297/09
6709,219298/09
10853,95517/1
6180,24701/07
4416,2237/94
4583,2721
4593,2722
2127,G0344/91
8409,105015/1
2473,261021
6831,97018/12
11398,17123/1
10779,154820/1
10780,154920/1
7746,97698/11
5074,24384/06
7347,97882/12
5586,221157/08
5585,221156/08
7274,186365/13
7273,186364/13
11767,69421/1
11766,69321/1
11872,150921/1
11873,151021/1
11871,150821/1
8570,1615/1
5266,222226/07
3531,195452/04
11926,35322/1
6407,167489/10
6471,167490/10
1129,38872/96
1131,38874/96
1106,208365/02
1105,208366/02
5384,221974/09
1104,973992/02
8838,54014/1
1130,38873/96
1132,38875/96
6256,167177/10
9157,59217/1
10335,52520/1
10429,74120/1
10845,34122/1
899,MP1328/93
3944,195254/04
11800,69124/1
11801,69024/1
7598,186998/14
2137,E0343/91
10421,45820/1
4615,148352
11182,130622/1
4626,974052
893,01912A
4604,2776
4507,973025
4518,973921
4637,23
4643,24
2139,E0980/92
2140,A0341/91
1352,973940/02
10545,30020/1
11165,21122/1
11017,51322/1
7390,185959/13
7389,185958/13
7388,185987/13
7386,185988/13
7387,185989/13
11754,88422/1
6822,218835/09
6823,218834/09
7555,187342/13
7045,167488/10
7046,167487/10
3847,26814
2576,20112
10009,151718/1
10223,83617/1
11374,1181/1
10193,15319/1
10145,119619/1
7730,186054/13
7731,186055/13
4575,19218
4644,19215
4573,22322
4574,19812
7930,116214/1
9086,63317/1
6267,167816/11
11924,33623/1
4364,208365/97
6753,167639/10
5262,23723/06
5263,24863/07
10542,36118/1
7530,96204/11
6752,167463/10
8363,186285/13
9492,18316/1
11552,120421/1
5542,221408/08
5983,218866/09
974,MP CA 581/91
975,MP CB 581/91
7650,29014/1
11589,27823/1
11590,27923/1
978,261444/97
11102,47421/1
11101,47321/1
11100,47221/1
11099,47121/1
6092,167503/10
6093,167502/10
6094,167501/10
5981,219288/09
5951,221990/09
3819,27352
3820,27353
983,MP HO 581/91
5982,219461/09
11103,21521/1
11104,21421/1
11105,21321/1
3822,27355
10822,90618/1
10821,145220/1
10820,145320/1
8753,35116/1
8754,35216/1
988,MP MO 581/91
6635,167485/10
10823,95720/1
7884,149914/1
7317,185831/13
8998,150816/1
8999,150916/1
9591,34918/1
6001,219571/09
3571,208659/03
3579,208658/03
1001,MP VA 581/91
1002,MP VB 581/91
5669,221713/08
5670,221714/08
6340,96388/11
7576,185986/13
7496,186099/13
7497,186100/13
7498,186101/13
10562,62920/1
9244,25117/1
10563,63020/1
7316,187401/13
5589,221407/08
3570,208656/03
10342,186919/1
10343,187019/1
11379,153921/1
11378,153821/1
10871,27422/1
11901,128623/1
10872,26722/1
11902,128723/1
9263,83217/1
6909,96585/12
8923,47016/1
2156,405421/00
2157,405419/00
6855,168103/10
6477,168101/10
8032,24914/1
8033,24814/1
11115,160016/1
6478,168104/10
6854,168105/10
9589,33818/1
8143,186824/14
8142,186823/14
10504,193019/1
10505,193419/1
10506,192519/1
5545,194453/05
7494,97451/12
8960,115916/1
8961,115816/1
10916,43821/1
8467,115615/1
8466,113215/1
8832,142116/1
9359,176017/1
11275,129422/1
11274,129222/1
11277,150322/1
6893,96606/12
10904,158619/1
10926,50722/1
11562,158223/1
6894,96607/12
10903,158519/1
10927,50822/1
11563,158323/1
10499,165919/1
10500,166019/1
11992,53722/1
10940,187219/1
9227,86117/1
10348,39518/1
10214,39318/1
10213,39418/1
9038,25017/1
10083,139519/1
10326,200319/1
10327,200219/1
1008,27527
5478,219743/09
1009,236712
10543,57620/1
10806,122320/1
10807,122420/1
5226,24467
5224,24468
5225,24469
11752,54923/01
4660,28556/93
10695,17520/1
10696,17420/1
9537,29818/1
8506,157715/1
10362,140420/1
4673,261087/97
4680,261088/97
10617,57121/1
7004,97499/12
7635,50114/1
7709,61014/1
10857,165320/1
9480,107114/1
10896,195719/1
5949,24985/07
11219,87421/1
11220,87321/1
11221,78221/1
11080,115222/1
3355,974055/02
4249,974227/01
4260,974230/01
4268,974228/01
4269,974229/01
5075,24457/06
5076,24459/06
7490,97883/12
9199,30617/1
7569,186393/13
9200,30717/1
11795,133622/1
11794,133522/1
8660,186840/14
11355,97621/1
11936,10124/1
11356,97721/1
11935,8324/1
9234,79617/1
11616,38323/1
10484,145021/1
11617,38423/1
10191,16920/1
10192,16720/1
10190,16820/1
4214,19/95
4236,20/95
4864,21/95
2177,261487/97
2179,D0744/92
11027,83421/1
1878,208478
1879,135386
2227,38682
2226,208689/03
11639,38416/1
11640,38316/1
7849,186999/14
11947,116423/1
10271,142319/1
10272,142419/1
10280,155919/1
730,26737
9849,179118/1
8919,174916/1
6251,166503/11
8528,167115/1
4270,18540
8807,222927/14
2198,973411/01
2199,973412/01
5222,208571/03
5980,218766/09
11160,76221/1
5555,221326/08
6110,167517/10
5554,221325/08
6109,167512/10
5673,218859/09
10712,49419/1
10711,49519/1
11941,52821/1
11942,52721/1
10551,45620/1
10550,45720/1
7742,186351/13
7806,186265/13
10181,168319/1
11543,81221/1
11861,181820/1
11611,165220/1
9632,79316/1
9633,79416/1
4272,974221/01
755,208619/03
9696,67018/1
9697,67118/1
11875,55424/1
11177,151322/1
10154,99219/1
11270,177720/1
7358,97545/11
7359,97546/11
9513,87518/1
9514,87618/1
9593,110516/1
1362,973745/02
5590,24744/07
1363,973735/02
1721,974064/02
1720,974059/02
759,208552/03
9661,94518/1
1835,974043/02
11533,4020/1
10080,84519/1
10081,84419/1
6307,24111/06
11509,92822/1
2747,
8907,106716/1
10358,179019/1
11118,181520/1
11119,16321/1
11081,61022/1
11755,77022/1
11756,77222/1
7276,185844/13
5041,194101/05
5957,219480/10
5039,194106/05
6869,219471/09
5211,222235/07
1369,3561
8099,154714/1
1651,25799
1652,25800
3496,148377/04
11062,10521/1
8942,151616/1
8943,151516/1
11631,113622/1
9104,23017/1
9103,22917/1
9333,100717/1
10307,179219/1
7309,96730/12
3695,27096
3694,27095
4376,2234/94
10436,81520/1
3992,25310
8986,14817/1
8987,14917/1
8988,15017/1
9688,147918/1
7532,97884/12
11124,81220/1
11937,102723/1
6516,167169/10
7573,185823/13
5504,222378/08
10860,28820/1
10531,167820/1
4684,26556/88
4688,26589/89
5245,194491/05
1726,208015/03
1727,208034/03
7733,27414/1
508,236445/98
611,27179
612,27180
11596,106923/1
11597,107023/1
1862,208672/03
10089,129018/1
259,27703
8881,103816/1
11016,51722/1
11630,111122/1
5889,222451/08
9066,175116/1
9900,173218/1
6372,166901/11
6370,166903/11
6368,166905/11
6791,97990/12
10079,103119/1
10512,113717/1
9522,79318/1
9760,14519/1
8712,59216/1
8621,1316/1
8620,1216/1
7319,166972/11
7069,219474/10
11501,113621/1
4378,194794/05
5615,221706/08
6262,166647/11
6248,167844/11
5506,24945/07
5507,24944/07
6715,166532/11
5181,24718/07
11445,35223/1
5192,24714/07
11444,35123/1
5397,222455/08
4078,23881/07
4079,23882/07
7838,66314/1
11946,96022/1
11251,121720/1
11252,121820/1
11253,121920/1
11384,72422/1
11385,72322/1
11383,72222/1
10795,96721/1
11666,130823/1
10794,96821/1
11667,6524/1
10867,57317/1
10868,57217/1
7551,186649/13
8498,161415/1
481,27946/95
480,27945/95
1381,405698/00
1382,974041/02
6018,23609/06
6017,24537/07
11030,114621/1
8341,97115/1
10157,4019/1
9972,28719/1
9970,40219/1
9971,40019/1
6451,218895/09
9386,186162/13
10687,189319/1
9477,146117/1
11619,110122/1
10598,87420/1
11269,177320/1
9469,179417/1
9468,179517/1
9910,60519/1
9911,60619/1
9912,60719/1
363,405431/00
11440,137822/1
11715,79520/1
11714,79620/1
1177,135268
11554,52622/1
8155,22615/1
6517,166754/11
7153,166968/11
8750,185839/13
11073,115122/1
10826,71420/1
7998,137514/1
7997,137614/1
7996,137714/1
9846,5119/1
9847,5219/1
9848,5219/1
10947,51622/1
10138,147119/1
4380,2231/94
1655,973395/01
6467,96221/11
6466,96222/11
5948,218588/10
5734,219572/09
7328,185998/13
5735,219579/09
5135,208862/03
6674,097668/11
8726,45416/1
6217,221174/08
6158,222434/08
10162,104319/1
7160,96731/12
8800,172516/1
9239,98217/1
8782,141316/1
9238,98317/1
11184,99620/1
11185,99720/1
11186,99520/1
11406,6422/1
4021,24496/06
4022,24497/06
10755,50021/1
11120,181920/1
5688,218890/09
5689,218892/09
10186,132719/1
10204,182019/1
9501,43118/1
9502,43018/1
1384,208296/03
1383,208332/02
9019,108816/1
6474,168224/10
10716,58921/1
10717,59021/1
10718,59121/1
10719,59221/1
10720,59321/1
10721,59421/1
10722,59521/1
11899,67824/1
11900,67724/1
10672,60621/1
9629,70718/1
9630,70818/1
9631,70918/1
11020,40122/1
4481,22448
4103,2803/94
4104,2836/94
11983,83824/1
7735,45814/1
1161,135391
8503,172515/1
1385,14247
7222,185811/13
7221,185810/13
2248,78728/97
2249,78727/97
10917,110620/1
10895,65421/1
4576,19273
4577,19264
11329,130922/1
4351,20606
11357,19423/1
4350,20607
11359,19523/1
7235,221853/08
10852,185518/1
6965,96393/11
6966,96392/11
10246,135019/1
10247,134919/1
10245,135119/1
10112,83418/1
10113,83318/1
10111,83018/1
10110,83118/1
10109,83218/1
11313,67222/1
11314,67322/1
8613,185815/13
7729,78214/1
7869,108014/1
8098,154814/1
5187,24726/07
5186,24725/07
5189,24693/07
5188,24724/07
5190,24691/07
5191,24692/07
8479,133715/1
9326,112917/1
11620,112722/1
11152,124521/1
11266,8121/1
11267,6321/1
5766,218753/09
4275,78968/98
4276,78969/98
4278,78966/98
10294,36320/1
10295,42420/1
11450,133721/1
4578,46
6714,167735/11
10749,98720/1
6405,218692/10
2250,78977
6469,219212/09
6903,97958/12
2251,236347
9836,165116/1
6309,24676/07
6308,23639/06
8924,129615/1
7258,185912/13
10865,63520/1
10789,144820/1
10788,144720/1
11226,92420/1
11921,98422/1
9467,162017/1
9465,162117/1
9466,162217/1
11511,92121/1
11512,92321/1
11297,11718/1
11296,157222/1
11647,138623
10855,16318/1
6529,166827/11
6530,166826/11
6605,166828/11
6604,166829/11
1659,405927/00
1658,405929/00
11583,66822/1
11835,69724/1
11836,69524/1
11843,32124/1
2263,B0341/91
3943,195255/04
11860,77122/1
11318,147422/2
8090,9415/1
5277,222419/08
5659,219730/09
5658,219729/09
753,148316/03
754,148317/03
6853,219210/09
6512,221349/08
8876,67616/1
9916,104916/1
3987,208360/02
760,208806/03
761,208807/03
3777,208361/02
5774,221695/08
1660,973910/02
2266,973405/01
8617,49816/1
6422,219554/09
7242,186375/13
6505,218905/10
2271,973948/02
1842,208669/03
6719,222203/07
2272,0236861/99
5966,168034/10
1394,208593/03
1395,973915/02
11706,140122/1
10427,97020/1
11202,150221/1
11201,150121/1
11479,152320/1
11480,152420/1
11481,152520/1
11358,43622/1
3906,194122/05
3907,194123/05
7452,186077/13
7397,166541/11
7396,166542/11
3920,195349/04
4095,194343/05
4097,194345/05
9730,47219/1
11852,177520/1
5116,23727/06
5117,23728/06
10996,26721/1
2277,136
6218,222287/08
6013,24702/07
4387,208844/03
4388,208843/03
1852,148347/04
3780,208987/03
5045,24129/06
521,405528
522,405527
11311,41122
11312,107821
10889,77121/1
8651,13716/1
4579,2770
4580,2775
8920,121816/1
2736,767285/00
2793,E0344/91
9389,146917/1
4581,405501
11330,155722/1
11961,96023/1
285,MPA 2272/94
2282,78753/97
2283,236215/98
2285,78752/97
291,MPB 2893/94
292,MPC 2893/94
9141,31717/1
9160,30817/1
9161,30917/1
8048,127914/1
5976,24688/07
6163,219707/09
7493,187200/14
5667,221862/08
7421,187099/13
7423,187100/13
7933,186156/13
5626,24330/06
9660,94618/1
11366,20322/1
11368,20522/1
11367,20422/1
4389,78771/98
9149,1017/1
10086,139219/1
10087,139119/1
4582,405502
11244,59020/1
11245,59120/1
10323,175119/1
10085,125519/1
10084,139319/1
1248,974065/02
5155,0023735/06
1256,28600
11929,88322/1
2295,208475
1662,78815/98
1819,261314
1840,974042/02
5310,221198/08
7093,187500/13
11162,33520/1
5938,218560/10
7092,187499/13
5931,218870/09
1139,208268/96
786,973407/01
3956,195457/04
3464,973899/02
3939,195321/04
6655,219213/09
6656,219214/09
5823,219716/09
11785,FE26823/1
11786,FE26623/1
11787,FE26523/1
11784,FE26723/1
7973,186972/14
10320,117519/1
5298,24541/07
9132,187457/13
7075,96407/11
7074,96408/11
4390,974245/01
3959,194930/05
3960,194929/05
7168,97242/12
6410,24657/07
5967,23707/06
6047,167087/10
8404,117015/1
8406,116815/1
9657,115318/1
8405,116915/1
1179,27204
10290,110616/1
6404,218693/10
8751,31416/1
5235,24916/07
7661,186451/12
7660,96900/12
11550,116723/1
11551,116723/1
10015,34417/1
10491,162220/1
10490,163020/1
5775,221696/08
1402,405684/00
1403,208723/03
8292,101015/1
11225,153521/1
11316,153521/1
6544,167191/10
9975,23719/1
11886,21622/1
1255,28599
1253,23910/78
1820,135361
10423,63620/1
10846,100321/1
10751,167602/10
10982,29822/1
5306,24452/06
10874,27222/1
11903,128423/1
10873,27322/1
11904,128523/1
6574,218776/09
11353,79118/1
1864,973346/01
6824,166942/11
11774,137323/1
11775,137423/1
11776,137523/1
4586,19269
4587,20039
5021,22269
3592,973408/01
10793,90321/1
8692,116/1
8366,67715/1
4395,973438/01
4396,973439/01
10753,155620/1
8709,32416/1
8708,32316/1
11113,149420/1
9644,95718/1
9399,120217/1
9228,112217/1
10850,200119/1
8603,106915/1
1025,27528
9599,33918/1
4100,23872/07
11438,138222/1
9123,101716/1
9122,101816/1
9124,101616/1
9820,103717/1
8435,114715/1
4588,22573
4107,35/95
4800,279/95
4802,279/95
4803,279/95
4804,279/95
4805,279/95
4806,279/95
4859,35/95
4105,35/95
4106,35/95
4108,35/95
4860,35/95
4109,35/95
4858,35/95
10465,171219/1
10466,170819/1
10467,171119/1
10468,171319/1
4694,23650/06
4695,23701/06
5516,221711/08
5518,221712/08
4693,23649/06
4696,23702/06
4697,23703/06
11718,100023/1
11981,122024/1
11719,100123/1
7341,97480/12
11417,2319/1
11896,21422/1
11897,21522/1
9099,134314/1
9098,134414/1
9097,134514/1
11892,115323/1
11891,115223/1
8724,74916/1
8725,75016/1
1169,22857/74
5569,218155/09
10095,59619/1
9295,102816/1
9294,102716/1
10528,130517/1
10529,130417/1
53,38700
529,208316/02
8138,187414/13
528,208315/02
10768,101621/1
10424,92220/1
11086,99922/1
11087,100022/1
2975,17908
2976,23537
11962,11722/1
11964,11822/1
11965,12022/1
11963,11922/1
11717,90418/1
8965,176716/1
10897,9714/1
10375,73620/1
5420,221922/09
5421,221923/09
5422,221924/09
8441,133815/1
9678,99818/1
9679,99918/1
8354,096851/12
4584,34
4585,34
5880,218001/09
5881,218002/09
5883,218011/09
5229,24979/07
5236,24978/07
10668,84621/1
10667,84521/1
10666,84721/1
6845,97841/11
6846,97842/11
4397,24751
3206,405690/00
5258,24472/06
10516,126119/1
10517,84619/1
7861,186191/13
7862,186192/13
1711,195490/04
1712,195491/04
1713,195492/04
5565,23863/07
6342,168138/10
6343,168139/10
5332,24491/06
3977,195471/04
10452,68620/1
3978,195470/04
10453,68720/1
3976,195469/04
10451,1320/1
5114,24301
10454,68820/1
8322,84015/1
8820,118316/1
7049,218863/09
7495,96715/12
7560,186379/13
10478,63320/1
10479,63420/1
11539,164820/1
4287,236962/99
4285,236959/99
4286,236958/99
10253,153519/1
10941,95818/1
10763,122121/1
10764,122221/1
10765,122321/1
4288,20949
4289,19330
8492,131415/1
8493,131515/1
6193,167632/10
4903,38909/96
4904,38918/96
2465,208973/03
8825,125615/1
10898,20314/1
7865,86814/1
7867,86614/1
9242,73817/1
10978,4921/1
6497,167159/10
11542,33923/1
2361,27883
8290,11815/1
9438,40918/1
6872,97363/12
11846,99723/1
11797,99523/1
9876,7919/1
411,19486
412,24542/79
11133,147722/1
11132,114120/1
11131,147255/1
8379,186962/14
9690,71116/1
8060,39914/1
9118,8617/1
8899,167016/1
10905,113921/1
10963,622/1
10965,722/1
10964,422/1
10961,522/1
10962,322/1
11822,30924/1
11821,31024/1
11820,31124/1
7511,186529/13
7878,133914/1
4291,13929
4292,6930
1800,3443/72
8422,136315/1
1801,3398/72
2806,27530
2810,78978/98
2811,236418/98
6697,096203/11
6696,096202/11
10291,125416/1
11528,131422/1
11527,131322/1
11656,131522/1
9276,69217/1
8120,122514/1
8121,122414/1
5877,221406/08
11870,55124/1
11868,55224/1
11869,55324/1
11763,28123/1
11764,28023/1
11762,28223/1
11411,24123/1
5159,24369/06
6388,167976/11
5519,24728/07
10742,151617/1
10743,107521/1
10744,107421/1
10161,108919/1
2985,26415
2980,25733
2979,24095
2977,25734
2986,973478/02
2987,26876
4398,236678/98
4399,973306/01
5520,24727/07
416,8291
417,20285
9536,125716/1
8300,186182/13
11674,12922/1
8299,186181/13
11673,12822/1
5464,222372/08
6884,219453/09
6885,219454/09
11943,65023/1
9045,121916/1
4898,26693/89
4400,208685/03
2886,405976/00
11840,89624/1
7531,97885/12
7321,166908/11
